1 Aleksandr Belugin {'RUSSIAN': [4, 3, 3], 'CHEM': [4, 3, 3]}
2 Vladimir Cedenko {'BIOL': [5, 3, 5], 'MATH': [5, 5, 5]}
3 Andron Barinov {'BIOL': [4, 4, 4], 'MATH': [4, 3, 3]}
4 Sergey Apin {'LITERAT': [5, 3, 3], 'BIOL': [4, 4, 3]}
5 Mihail Belugin {'MATH': [3, 4, 5], 'LITERAT': [3, 5, 3]}
6 Victor Asin {'BIOL': [4, 4, 4], 'CHEM': [3, 3, 5]}
7 Sergey Guseev {'RUSSIAN': [3, 3, 5], 'LITERAT': [3, 3, 3]}
8 Andron Gamin {'BIOL': [3, 5, 5], 'LITERAT': [3, 5, 5]}
9 Nikolai Duzev {'BIOL': [4, 4, 4], 'MATH': [3, 3, 4]}
10 Andrey Azin {'CHEM': [5, 5, 4], 'MATH': [3, 5, 5]}
11 Andrey Aronov {'RUSSIAN': [3, 5, 4], 'CHEM': [5, 5, 3]}
12 Sergey Duzev {'RUSSIAN': [3, 3, 4], 'CHEM': [5, 3, 3]}
13 Dmitriy Duzev {'LITERAT': [4, 4, 5], 'BIOL': [5, 4, 5]}
14 Mihail Asin {'BIOL': [5, 5, 3], 'LITERAT': [3, 3, 4]}
15 Victor Frolov {'CHEM': [3, 4, 4], 'MATH': [5, 5, 4]}
16 Valentin Guzin {'MATH': [3, 5, 5], 'RUSSIAN': [3, 3, 3]}
17 Andrey Guzin {'CHEM': [4, 5, 5], 'MATH': [5, 5, 4]}
18 Dmitriy Cedenko {'BIOL': [5, 5, 3], 'CHEM': [3, 3, 3]}
19 Nikolai Guseev {'LITERAT': [4, 4, 4], 'RUSSIAN': [3, 4, 4]}
20 Aleksey Aminov {'RUSSIAN': [3, 3, 5], 'CHEM': [4, 5, 4]}
21 Aleksey Apin {'BIOL': [5, 4, 4], 'CHEM': [4, 4, 4]}
22 Aleksey Asin {'LITERAT': [3, 3, 3], 'BIOL': [4, 3, 5]}
23 Andrey Guseev {'RUSSIAN': [4, 5, 3], 'BIOL': [5, 5, 3]}
24 Mihail Apin {'RUSSIAN': [5, 3, 3], 'BIOL': [4, 5, 3]}
25 Vladimir Barinov {'CHEM': [5, 5, 3], 'BIOL': [4, 5, 5]}
26 Andrey Civilin {'LITERAT': [3, 4, 3], 'MATH': [3, 3, 5]}
27 Vladimir Azin {'MATH': [3, 4, 5], 'RUSSIAN': [3, 5, 4]}
28 Sergey Civilin {'LITERAT': [3, 4, 3], 'RUSSIAN': [3, 4, 5]}
29 Mihail Azin {'BIOL': [5, 3, 4], 'MATH': [3, 4, 5]}
30 Mihail Guseev {'CHEM': [4, 4, 4], 'BIOL': [5, 5, 5]}
31 Nikolai Barinov {'CHEM': [5, 5, 4], 'BIOL': [5, 3, 3]}
32 Andrey Cedenko {'BIOL': [4, 4, 4], 'LITERAT': [4, 4, 4]}
33 Aleksey Duzev {'BIOL': [5, 3, 3], 'CHEM': [5, 4, 4]}
34 Victor Aronov {'LITERAT': [3, 5, 3], 'BIOL': [4, 3, 5]}
35 Andron Asin {'BIOL': [5, 5, 5], 'CHEM': [5, 3, 4]}
36 Dmitriy Belugin {'LITERAT': [4, 5, 4], 'CHEM': [5, 5, 5]}
37 Dmitriy Asin {'BIOL': [5, 5, 3], 'RUSSIAN': [4, 4, 3]}
38 Valentin Guseev {'MATH': [4, 4, 5], 'RUSSIAN': [3, 4, 4]}
39 Mihail Faminov {'MATH': [5, 3, 4], 'RUSSIAN': [3, 4, 5]}
40 Aleksandr Azin {'RUSSIAN': [3, 5, 5], 'LITERAT': [5, 3, 5]}
41 Sergey Frolov {'RUSSIAN': [5, 4, 3], 'LITERAT': [3, 3, 4]}
42 Dmitriy Aminov {'LITERAT': [3, 5, 3], 'BIOL': [3, 5, 3]}
43 Valentin Barinov {'LITERAT': [5, 4, 5], 'RUSSIAN': [3, 5, 5]}
44 Valentin Faminov {'BIOL': [4, 5, 3], 'CHEM': [5, 4, 4]}
